bucket size: 32, n: 128, num segments: 4,
3.852757, 1.729429, 1.329869, 0.765047, 0.559206, 0.444680, 0.369345, 0.150752, 0.022869, 0.008925, 0.006342, 0.003976, 0.002916, 0.001013, 0.000680, 0.000374, 0.000134, 0.000075, 0.000026, 0.000006, 0.000005, 0.000002, 0.000001, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
4.298279, 1.985245, 1.011210, 0.901076, 0.695427, 0.623184, 0.484610, 0.249322, 0.180193, 0.163090, 0.097002, 0.039225, 0.021920, 0.015653, 0.002992, 0.001417, 0.001226, 0.001083, 0.000545, 0.000311, 0.000170, 0.000090, 0.000022, 0.000010, 0.000004, 0.000003, 0.000002, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
3.624261, 1.888066, 1.552934, 0.900092, 0.713081, 0.679051, 0.627324, 0.541558, 0.435796, 0.411124, 0.234157, 0.154307, 0.153651, 0.049314, 0.031414, 0.016922, 0.011265, 0.007079, 0.003246, 0.000833, 0.000798, 0.000374, 0.000281, 0.000170, 0.000097, 0.000059, 0.000021, 0.000017, 0.000011, 0.000002, 0.000000, 0.000000, 
3.351520, 2.105236, 1.542911, 1.176139, 0.936288, 0.710144, 0.543363, 0.517894, 0.506007, 0.463086, 0.292043, 0.259413, 0.097956, 0.064232, 0.054492, 0.028744, 0.017949, 0.008804, 0.006636, 0.002936, 0.001729, 0.001088, 0.000799, 0.000376, 0.000336, 0.000227, 0.000067, 0.000046, 0.000006, 0.000004, 0.000001, 0.000001, 
3.405457, 1.826630, 1.550820, 1.035433, 0.818971, 0.657894, 0.468946, 0.409407, 0.260553, 0.212539, 0.174641, 0.112905, 0.058704, 0.033599, 0.011021, 0.007351, 0.005622, 0.002491, 0.001309, 0.000441, 0.000269, 0.000180, 0.000130, 0.000061, 0.000060, 0.000020, 0.000012, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 
4.272100, 1.562057, 1.375463, 1.002865, 0.776916, 0.568540, 0.447234, 0.431580, 0.295868, 0.258780, 0.243352, 0.156553, 0.079454, 0.043567, 0.024715, 0.017226, 0.004953, 0.004227, 0.002131, 0.001056, 0.000626, 0.000555, 0.000354, 0.000098, 0.000054, 0.000030, 0.000011, 0.000004, 0.000001, 0.000000, 0.000000, 0.000000, 
3.955613, 2.381947, 1.187783, 0.831451, 0.624909, 0.582986, 0.340593, 0.313249, 0.088591, 0.075317, 0.066207, 0.033689, 0.011620, 0.009302, 0.004845, 0.002756, 0.001104, 0.000219, 0.000164, 0.000080, 0.000045, 0.000019, 0.000012, 0.000005, 0.000003, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
4.084226, 2.177023, 0.999820, 0.559473, 0.555848, 0.480627, 0.460856, 0.183079, 0.134680, 0.032780, 0.008910, 0.006455, 0.004035, 0.002643, 0.001351, 0.000173, 0.000124, 0.000086, 0.000018, 0.000015, 0.000012, 0.000006, 0.000004, 0.000002, 0.000001, 0.000001, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
3.651375, 1.708324, 1.247120, 1.029019, 0.653239, 0.528653, 0.470844, 0.243551, 0.090610, 0.038827, 0.010840, 0.009009, 0.002489, 0.002116, 0.001163, 0.000545, 0.000356, 0.000073, 0.000047, 0.000021, 0.000013, 0.000008, 0.000005, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
3.359262, 2.019969, 0.999788, 0.916746, 0.776567, 0.437877, 0.360000, 0.334687, 0.117297, 0.095317, 0.036031, 0.022833, 0.004729, 0.002730, 0.001073, 0.000631, 0.000322, 0.000158, 0.000057, 0.000033, 0.000023, 0.000007, 0.000006, 0.000002, 0.000001, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
3.728012, 1.741450, 1.069654, 0.743826, 0.624645, 0.536367, 0.484494, 0.452894, 0.329485, 0.230608, 0.167230, 0.083756, 0.043822, 0.039320, 0.021791, 0.011123, 0.004753, 0.003217, 0.002330, 0.000636, 0.000463, 0.000214, 0.000159, 0.000072, 0.000057, 0.000041, 0.000023, 0.000005, 0.000001, 0.000001, 0.000000, 0.000000, 
3.397413, 1.761853, 1.410595, 1.088357, 0.992397, 0.692051, 0.664124, 0.599599, 0.427462, 0.384866, 0.340543, 0.300576, 0.219590, 0.074436, 0.051691, 0.031969, 0.025781, 0.017761, 0.005259, 0.003144, 0.002461, 0.001710, 0.001329, 0.000793, 0.000362, 0.000098, 0.000066, 0.000020, 0.000010, 0.000003, 0.000002, 0.000001, 
3.043904, 2.508638, 1.521722, 1.394299, 0.803413, 0.627903, 0.531677, 0.420231, 0.382193, 0.318584, 0.292006, 0.247827, 0.198113, 0.072808, 0.054976, 0.027016, 0.016641, 0.008772, 0.002980, 0.002335, 0.001301, 0.000730, 0.000651, 0.000247, 0.000179, 0.000027, 0.000011, 0.000005, 0.000002, 0.000000, 0.000000, 0.000000, 
3.950998, 1.521822, 1.212814, 1.120611, 0.789989, 0.672099, 0.475891, 0.351333, 0.309846, 0.299645, 0.162794, 0.125440, 0.067520, 0.059972, 0.019224, 0.016738, 0.011172, 0.002641, 0.002119, 0.001487, 0.000756, 0.000454, 0.000327, 0.000219, 0.000107, 0.000062, 0.000026, 0.000016, 0.000011, 0.000005, 0.000002, 0.000000, 
3.245730, 1.757183, 1.326680, 0.955759, 0.730485, 0.615910, 0.495421, 0.351340, 0.181585, 0.114807, 0.060527, 0.026123, 0.014766, 0.013264, 0.003977, 0.001246, 0.000442, 0.000175, 0.000107, 0.000065, 0.000040, 0.000025, 0.000005, 0.000003, 0.000002, 0.000001, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
3.369817, 2.048616, 1.118687, 1.004513, 0.461425, 0.387700, 0.323515, 0.209888, 0.174784, 0.049765, 0.007995, 0.005074, 0.002502, 0.001375, 0.000802, 0.000504, 0.000249, 0.000111, 0.000053, 0.000033, 0.000025, 0.000007, 0.000002, 0.000002, 0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
